category,name,discount,badge,sold,url,image
Personal Care,Guardian Refreshing Body Wash Shower Gel 1L,-30%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Guardian-Refreshing-Body-Wash-Shower-Gel-1L-i.186214521.26884950925?extraParams=%7B%22display_model_id%22%3A167146372177%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7rbke-m90e7v1fmtjxcf
Personal Care,Fres & Natural Sabun Mandi Cair BT21 Love Yourself Pouch 400Ml,-36%,,10RB+ terjual,https://shopee.co.id/Fres-Natural-Sabun-Mandi-Cair-BT21-Love-Yourself-Pouch-400Ml-i.186214521.25931711525?extraParams=%7B%22display_model_id%22%3A255959267126%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98s-lw47zwuu5unv54
Personal Care,Loluna Hair Lotion 110ml - Losion Rambut Bayi dan Anak / Menutrisi Rambut Bayi / Perawatan Rambut / Menyuburkan Rambut Bayi,-10%,Hadiah Gratis,71 terjual,https://shopee.co.id/Loluna-Hair-Lotion-110ml-Losion-Rambut-Bayi-dan-Anak-Menutrisi-Rambut-Bayi-Perawatan-Rambut-Menyuburkan-Rambut-Bayi-i.186214521.54303969001?extraParams=%7B%22display_model_id%22%3A415377533731%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-8224v-miwmhk88abcz06
Personal Care,ELLIPS Vitamin Hair Mist Sweet & Silky 100ml,-26%,Pilih Lokal,10RB+ terjual,https://shopee.co.id/ELLIPS-Vitamin-Hair-Mist-Sweet-Silky-100ml-i.186214521.19379734472?extraParams=%7B%22display_model_id%22%3A118087025088%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qul6-lg1rh4q31d0p8f
Personal Care,PANTENE Shampoo Anti Ketombe 400Ml,-20%,Hadiah Gratis,424 terjual,https://shopee.co.id/PANTENE-Shampoo-Anti-Ketombe-400Ml-i.186214521.3784246009?extraParams=%7B%22display_model_id%22%3A44552721911%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukx-les8us6nda3o7e
Personal Care,LIFEBUOY Cool Fresh 100ml,-26%,,89 terjual,https://shopee.co.id/LIFEBUOY-Cool-Fresh-100ml-i.186214521.9339027549?extraParams=%7B%22display_model_id%22%3A81402958100%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukw-les8yz3oiops35
Personal Care,LISTERINE Cool Mint Antiseptic Mouthwash 250ml,-31%,,10RB+ terjual,https://shopee.co.id/LISTERINE-Cool-Mint-Antiseptic-Mouthwash-250ml-i.186214521.7815935463?extraParams=%7B%22display_model_id%22%3A40591748392%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-les8cwzolrbbcd
Personal Care,Lavojoy Hair We Bloom Conditioner 300Ml,-15%,,599 terjual,https://shopee.co.id/Lavojoy-Hair-We-Bloom-Conditioner-300Ml-i.186214521.25381699322?extraParams=%7B%22display_model_id%22%3A240958345471%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98x-lw480f3lgs7h12
Personal Care,Kodomo Baby Wipes Rice Milk 50S x 2 pcs,-26%,,10RB+ terjual,https://shopee.co.id/Kodomo-Baby-Wipes-Rice-Milk-50S-x-2-pcs-i.186214521.9753769834?extraParams=%7B%22display_model_id%22%3A35375732104%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-8224r-ml1geozafuv8b9
Personal Care,Lavojoy So So So Smooth Hair Mask 180Gr - Masker Rambut Lembut Berkilau dan Anti Kusut Frizzy,-15%,Hadiah Gratis,349 terjual,https://shopee.co.id/Lavojoy-So-So-So-Smooth-Hair-Mask-180Gr-Masker-Rambut-Lembut-Berkilau-dan-Anti-Kusut-Frizzy-i.186214521.28528729753?extraParams=%7B%22display_model_id%22%3A233901773319%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7rbk1-m71xd22fjjvl46
Personal Care,Guardian Facial Tissue 50S,-33%,,10RB+ terjual,https://shopee.co.id/Guardian-Facial-Tissue-50S-i.186214521.15274327613?extraParams=%7B%22display_model_id%22%3A68638778963%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7quky-les8ifdmaeey07
Personal Care,REJOICE Shampoo Rich 160ml,-10%,,400 terjual,https://shopee.co.id/REJOICE-Shampoo-Rich-160ml-i.186214521.7691468341?extraParams=%7B%22display_model_id%22%3A110579696570%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98p-lyw5ljhlwyko55
Personal Care,KODOMO Shampoo Gel Blueberry Btl 200ml,-35%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/KODOMO-Shampoo-Gel-Blueberry-Btl-200ml-i.186214521.3584811067?extraParams=%7B%22display_model_id%22%3A44653136486%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98z-lyuppo9uapm0fa
Personal Care,Softex Comfort Night 29cm 18 pads - Pembalut Malam - Spesial Bulan Ungu,-17%,,934 terjual,https://shopee.co.id/Softex-Comfort-Night-29cm-18-pads-Pembalut-Malam-Spesial-Bulan-Ungu-i.186214521.19079449206?extraParams=%7B%22display_model_id%22%3A194270940870%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-81zth-me3x5donh1c5bf
Personal Care,Zinc Shampoo Active Fresh Botol 680Ml,-30%,,10RB+ terjual,https://shopee.co.id/Zinc-Shampoo-Active-Fresh-Botol-680Ml-i.186214521.21289600752?extraParams=%7B%22display_model_id%22%3A196802893699%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mded4toihkbr63
Personal Care,NINA ANION 24Cm 10S,-30%,,3RB+ terjual,https://shopee.co.id/NINA-ANION-24Cm-10S-i.186214521.10535555343?extraParams=%7B%22display_model_id%22%3A37065393632%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-les8sz18phy997
Personal Care,Posh Deo Roll On Anti Stain brightening 50Ml,-27%,,10RB+ terjual,https://shopee.co.id/Posh-Deo-Roll-On-Anti-Stain-brightening-50Ml-i.186214521.11033251655?extraParams=%7B%22display_model_id%22%3A101715937561%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-8224t-mkhv628beih432
Personal Care,DETTOL Antiseptik Cair 245ml,-25%,,562 terjual,https://shopee.co.id/DETTOL-Antiseptik-Cair-245ml-i.186214521.3304628083?extraParams=%7B%22display_model_id%22%3A60591737335%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7quky-les8xdhwtef19e
Personal Care,Mise en Scene Hello Bubble Hair Color Pewarna Rambut Foam - 7A Ash Taupe Gray,-10%,,1RB+ terjual,https://shopee.co.id/Mise-en-Scene-Hello-Bubble-Hair-Color-Pewarna-Rambut-Foam-7A-Ash-Taupe-Gray-i.186214521.29263551876?extraParams=%7B%22display_model_id%22%3A233303019439%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7rasa-m150434q19le4a
Personal Care,Slavina Body Lotion Memutihkan Red Opium - Niacinamide Moisturizer Whitening Handbody Wangi Tahan Lama 350Ml,-15%,Hadiah Gratis,278 terjual,https://shopee.co.id/Slavina-Body-Lotion-Memutihkan-Red-Opium-Niacinamide-Moisturizer-Whitening-Handbody-Wangi-Tahan-Lama-350Ml-i.186214521.43200188139?extraParams=%7B%22display_model_id%22%3A248402328754%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-7rbkb-m9imkhmorsod37
Personal Care,Rexona Women Deolotion Tube Seluruh Tubuh Frozen English Pear 50ml,-40%,,202 terjual,https://shopee.co.id/Rexona-Women-Deolotion-Tube-Seluruh-Tubuh-Frozen-English-Pear-50ml-i.186214521.45051701906?extraParams=%7B%22display_model_id%22%3A410154864847%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134275-82251-mh8iox2id43v06
Personal Care,Softex Daun Sirih + Vitamin E 42cm 8s - Pembalut Daun Sirih Malam,-17%,,240 terjual,https://shopee.co.id/Softex-Daun-Sirih-Vitamin-E-42cm-8s-Pembalut-Daun-Sirih-Malam-i.186214521.25158088858?extraParams=%7B%22display_model_id%22%3A255209933664%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-81ztg-me3x11ah998m10
Personal Care,SELSUN Yellow Double Impact 100ml,-25%,,1RB+ terjual,https://shopee.co.id/SELSUN-Yellow-Double-Impact-100ml-i.186214521.3116295618?extraParams=%7B%22display_model_id%22%3A50591734026%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-les8yccvswm95f
Personal Care,Moell Physical Sunscreen SPF 50+ (PA++++) 30Gr,-20%,Pilih Lokal,551 terjual,https://shopee.co.id/Moell-Physical-Sunscreen-SPF-50-(PA-)-30Gr-i.186214521.27261614301?extraParams=%7B%22display_model_id%22%3A241617858738%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98y-m0b5pwfkc1oe1e
Personal Care,Emeron Hair Vitamin Soft & Smooth 6S,-33%,,4RB+ terjual,https://shopee.co.id/Emeron-Hair-Vitamin-Soft-Smooth-6S-i.186214521.26901825375?extraParams=%7B%22display_model_id%22%3A108375078108%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98s-lw47zwvo4mv2e8
